nombre,codigo,precio_publico,precio_compra,precio_mayoreo,clave_sat,unidad_sat
VASO B&D ORIGINAL HOMES,BDLI018,118.76,51.19,81.94,40141700,H87
BANDA P/SECADORA SIRVE 341241,WISE007,107.74,51.6,82.6,40141700,H87
MANG. UNIVERSAL CORRUGADA 4 BOCAS,XLAV005,35.02,10.52,18.43,40141700,H87
KIT P/LICUADORA OSTER,OSLIKIT,50.0,15.0,30.0,40141700,H87
QUEMADOR C/TAPA P/IEM,IEES001,143.96,77.56,124.15,40141700,H87
TAPA  P/VASO RIVAL,RILI002,15.0,5.61,10.0,40141700,H87
VASO PLASTICO RIVAL,RILI001,60.0,24.0,40.0,40141700,H87
VALVULA P/ESTUFA C/SALIDA 1/4,XEST015,160.0,63.51,120.0,40141600,H87
EMPAQUE B&D ORIG.MOD HOMES,BDLI021,5.11,1.02,2.35,40141700,H87
PORTAVASO PLASTICO HAMILTON MOD.,HALI016,35.0,14.1,25.0,40141700,H87
VASO CRISTAL HAMILTON BEACH,HALI010,250.0,125.0,200.0,40141700,H87
BANDA P/MOTOR EASY 3L 390 RO,EALA403,20.0,5.5,10.52,40141700,H87
DIAFRAGMA HAMILTON INOXIDABLE,HALI013,100.0,45.0,80.0,40141700,H87
QUEMADOR  H  C/CODO 30CM,XGAS066,127.39,54.91,95.55,40141700,H87
PERILLA P/PROPELA MOD LCI CINSASA,CILA047,7.34,2.11,4.41,40141700,H87
DISCO AGITADOR LCI T/HONGO,CILA048,51.57,22.42,38.67,40141700,H87
DIAFRAGMA RIVAL (COPLE T/DADO),RILI003,52.87,22.79,36.48,40141700,H87
DIAFRAGMA TAURUS COPLE CHICO,TALI224,60.0,32.5,50.0,40141700,H87
COPLE EUROBLENDER D/MOTOR C/V,PHLI045,7.71,1.33,3.09,40141700,H87
EMPAQUE B&D CHICO,BDLI012,10.0,2.12,6.0,40141700,H87
PERILLA DE METAL P/PROGRAMADOR,ACLA031,583.67,251.58,402.73,40141700,H87
MANG. DOBLE CURVA C/POSTIZO CORTA,GELA023,70.33,30.58,55.57,40141700,H87
BANDA P/WHITE WESTINGHOUSE 622451,WWLA001,119.71,51.6,83.8,40141700,H87
VASO PLASTICO PHILIPS TOP,PHLI058,65.0,21.4,45.0,40141700,H87
BLOCK P/ KELVINATOR,KELA003,93.23,45.04,71.48,40141700,H87
RESISTENCIA ELECTRICA P/REG.,XCAL018,70.0,28.82,60.0,26121501,H87
PORTAVASO B&D PARTE INF. CUADRADO,BDLI010,35.0,13.11,25.0,52151500,H87
CARBONES B&D P/PULIDORA,BDTA004,25.02,9.63,16.76,40141700,H87
CARBONES P/PULIDORA BOSCH C/ZAP,BOPU001,25.16,7.23,16.77,40141700,H87
DIAFRAGMA PLASTICO P/OSTER,OSLI160,21.82,9.36,14.99,40141700,H87
PORTAVASO P/TX 2000,PHLI030,14.05,4.34,9.62,40141700,H87
DIAFRAGMA TAURUS CUERDA EXT.,TALI218,65.0,28.17,45.0,40141700,H87
QUEMADOR ESTRELLA C/CODO 30CM,XGAS071,275.0,118.29,206.0,41102401,H87
COPLE VENTILADOR MOTOR B&D,BDLI001,50.0,15.0,30.0,40141700,H87
TAPA P/VASO TAURUS CUERDA INT.,TALI219,20.45,8.2,14.27,40141700,H87
JUEGO MANGOS PRESTO ANTIGUO,PROE040,96.77,41.71,66.77,40141700,H87
VASO CRISTAL TIPO OSTER,OSLI497,200.0,29.43,150.0,52152001,H87
EMPAQUE T/PRESTO PREMIER 6 L,PROE022,75.0,26.6,47.0,31401501,H87
IMAN P/PERFIL GRUESO (MTO),XREF016,60.0,8.87,40.0,40141700,MTR
PERILLA BLANCA MABE,MBES601,15.0,5.1,10.0,40141700,H87
JGO. MANGUERAS LLENADO 1.20 M,LGLA025,98.34,47.1,76.49,40141700,H87
EMPAQUE P/PRESTO 6 LTS. EXPORTACION,PROE014,26.13,7.51,16.11,40141700,H87
TAPA CON TAPON P/VASO CUBE N/O,OSLI114,0.0,0.0,0.0,40141700,H87
CAPACITOR 270-324,XCAP024,71.39,30.77,49.97,40141700,H87
CAPACITOR 340-408,XCAP025,80.2,34.57,56.14,40141700,H87
QUEMADOR  H  S/CODO 30CM PLANO 1 1/4,XGAS096,226.0,97.13,168.0,01010101,H87
VASO TAURUS CUERDA INT. CAL. ROSAN,TALI216,47.77,17.6,30.62,40141700,H87
TUBO ALIMENTADOR LARGO ACROS,ACES041,65.0,25.62,49.0,40141700,H87
TUBO ALIMENTADOR CORTO ACROS,ACES042,100.0,38.49,75.0,40141700,H87
TUBO ALIMENTADOR LARGO MABE,MBES064,100.0,45.0,80.0,40141700,H87
TUBO ALIMENTADOR CORTO KILIA,MBES067,100.0,45.0,80.0,40141700,H87
BOTON DE ENCENDIDO ESTUFA,MBES069,50.0,16.92,40.0,40141700,H87
PORTAVASO PLASTICO P/OSTER,OSLI176,10.5,3.44,7.18,40141700,H87
INDICADOR DE PRESION MODERNO EKCO,EKOE011,73.0,24.42,55.0,01010101,H87
VASO ARMADO TAURUS R/INT,TALIARMRI,163.0,70.5,112.0,40141700,H87
VASO ARMADO B & D HOME,BDLIARMH,219.28,95.34,151.31,40141700,H87
MANGUERA 3.00 MTS C/ROSCAS LATONADAS,WILA021,230.0,99.22,175.0,40142000,H87
TAPA B&D HOMES NO ORIGINAL,BDLI029,24.66,9.45,15.89,40141700,H87
VASO B&D HOMES NO ORIGINAL,BDLI028,54.33,22.41,37.69,40141700,H87
BANDA LONA GE 109B4949 STR,GELA469,40.0,14.62,30.0,40141700,H87
BANDA 3L230.,HOLA465,24.73,10.66,18.55,40141700,H87
VALVULA P/HORNO DE 3/8,XEST016,170.0,72.8,130.0,40141600,H87
CORONA (ENGRANE CIGUENAL) EASY,EALA108,119.32,51.43,83.52,40141700,H87
COPLE AHULADO P/MOTOR ORIG. D-70,MXLI003,40.32,17.38,30.24,40141700,H87
VASO CUBE PLASTICO ROSAN,OSLI117,120.0,45.0,100.0,40141700,H87
INTERRUPTOR DE PLAFON (LUZ),XVEN001,60.0,21.68,40.0,39122239,H87
INTERRUPTOR DE PLAFON 2 VEL,XVEN002,30.07,11.37,19.79,40141700,H87
INTERRUPTOR DE PLAFON 3 VEL A117212,XVEN003,85.0,18.44,65.0,39122239,H87
CAPACITOR D/PLAFON DE 2 A 5 MF,XVEN005,60.0,25.0,45.0,40141700,H87
MANG. DE DRENADO EXTERNA S/GRAPAS,MBLA015,100.0,25.85,80.0,01010101,H87
MANGO SUPERIOR P/PRESTO PREMIER,PROE042,55.0,22.98,40.0,40141700,H87
MANGO INFERIOR P/PRESTO PREMIER,PROE043,120.0,55.0,100.0,40141700,H87
ENS. CABEZA PORCELANIZADA C/PATA,ACES023,38.58,16.63,27.0,40141700,H87
EMPAQUE B&D MODELO HOMES,BDLI022,5.15,0.7,2.37,40141700,H87
EMPAQUE P/OLLA CINSA SILICON 22 SIRVE TEFAL Y MAGEFE,CIOE001,125.0,52.2,100.0,31401500,H87
EMPAQUE Y VALVULA PREMIER ORIG,PROE044,137.25,59.16,94.7,40141700,H87
PERNO O TRINQUETE P/AGITADOR,WILA031,60.0,25.46,50.0,40141700,H87
CABEZA GDE. EXCELL PORCELANIZADA,MBES014,38.66,15.29,26.61,40141700,H87
TUBO ALIMENTADOR CORTO KILIA  IZQ.,MBES078,100.0,26.5,80.0,31162800,H87
TUBO ALIMENTADOR CORTO KILIA  DER.,MBES077,100.0,26.5,80.0,31162800,H87
VASO CRISTAL T/HAMILTON BEACH,HALI410,160.0,68.81,120.0,40141700,H87
TUBO QUEMADOR POST IZQ. MABE,MBES033,76.0,32.7,57.0,40141700,H87
BANDA  P/LAV. PHILIPS 3L250,PHLA005,25.03,10.79,18.78,40141700,H87
KIT DE EMPAQUE  FUSIBLE E INTERLOOK,PROE048,118.0,51.46,90.0,40141700,H87
TAPA QUEMADOR ENSAMBLE 7500,MBES617,53.62,23.11,40.22,40141700,H87
FUSIBLE INTERLOCK CLASIC ORIGINAL,PROE050,150.0,115.0,135.0,40141700,H87
BOMBA DE AGUA 350365 ORIGINAL,WILA019,850.0,425.0,750.0,40141700,H87
PORTAVASO B&D P/BDLI005 N/O,BDLI032,35.0,14.0,25.0,40141700,H87
CARBONES B&D REDONDO 1/2,BDTA001,21.0,9.05,15.75,40141700,H87
PLATO D/CRISTAL 24.5 CM,XHMO245,115.84,49.93,86.88,40141700,H87
PLATO D/CRISTAL 27.2 CM,XHMO272,136.39,58.79,102.3,40141700,H87
ENS. CABEZA PORCELANIZADA S/PATA,ACES020,50.0,12.63,35.0,41102401,H87
ENS. CABEZA PORCELANIZADA C/PATA,ACES021,16.36,7.05,11.45,40141700,H87
VALVULA 1/2 CANA VASTAGO DELGADO,MBES043,267.0,115.35,201.0,40141600,H87
BOMBA MODERNA 2 VIAS WPLL,WILA070,255.0,110.0,180.0,40141700,H87
PORTAVASO B&D POWER PRO CUAD E/G,BDLI027,35.47,15.29,26.61,40141700,H87
PORTAVASO TAURUS MODERNO,TALI225,31.23,13.07,23.95,40141700,H87
LIMPIA RAYOS (BOLSA),LIM020,6.04,2.5,3.45,40141700,H87
EXPANSOR P/CADENA,EXP010,1.27,0.69,0.91,40141700,H87
RUEDA LIBRE 5 PASOS,RUE5PASO,43.52,23.65,31.28,40141700,H87
PEDAL METALICO DE 1/2,PEDMET1-2,130.0,65.0,100.0,40141700,H87
FOCO P/BICICLETA GRANDE,FOCOBICIG,45.02,15.0,21.56,40141700,H87
CODO C/C 1/2 X 45 49728,CODOCC1245,20.0,5.31,15.0,40172601,H87
TEE CC RED 3/4 X 3/4 X 1/2 NACOBRE,TEECC343412,37.07,18.58,25.87,40141700,H87
TUBO CC FLEX 1/2 (MTO),TUBCCF12,175.0,81.74,115.0,40171511,MTR
COPLE BARRIL 1/4 X 1/4,COBARRIL14,50.0,12.0,25.0,40141700,H87
NIPLE UNION 5/16 X 1/4,NIPUN51614,15.0,5.73,8.31,40141700,H87
PIGTAIL T/INV.COFLEX,AGP55,170.0,91.26,150.0,40141720,H87
COPLE P/DRENAJE SANITARIO 4 X 4,PAB44,276.0,148.72,208.0,40172608,H87
REPUESTOS P/TRAMPAS LAV-FREG,PB9015,12.92,5.57,7.44,40141700,H87
ARMEX 4 X 11 X 16,ARM41116,143.42,95.11,126.88,40141700,H87
PEGAZULEJO CREST 20 K BCO.,PEGCREB,215.0,133.28,190.0,40141700,H87
PEGAPISO PISO/PISO MPM BLANCO,PEGMPMB,126.15,75.0,100.05,40141700,H87
ABRAZADERA STD CORTINERO,ABRSTDCOR,6.03,1.6,3.71,40141700,H87
CABLE THW #12,CAB012,22.0,9.53,20.0,26121634,MTR
CINTA DOBLE ADHERENCIA 3/4,CINDADH34,18.01,7.09,10.7,40141700,H87
FOCO DOMESTICO,FOCODOM,20.0,6.47,15.0,39101612,H87
REGADERA ELECTRICA LOREN,REGELEL,0.0,245.62,0.0,40141700,H87
VARILLA P/TIERRA 1 MT.,VARTIE,100.0,50.67,85.0,30102400,H87
PLACA 3 VENTANA ARMONIX,P65592,18.93,11.76,15.55,40141700,H87
CADENA BOLITA 3.2MM 50M NIQ.,CADB32N,867.22,373.8,650.0,31151600,H87
FOCO P/LINTERNA DE ROSCA GOTA,FOCOLIROG,10.02,3.2,7.42,40141700,H87
PLACA SALIDA TELEFONICA SENCILLA,PLASALTS,15.0,2.9,7.28,40141700,H87
CONVERTIDOR DE AUDIO/VIDEO,CONA-V,195.23,110.0,153.12,40141700,H87
CABLE POT # 16,CABPOT16,15.0,6.5,13.0,26121634,MTR
CODO P/D 1,CODPD1,90.0,45.0,65.0,40141700,H87
CAJA GALV. 3 X 3 REFORZADA,CAJA33R,22.0,11.54,17.0,40141700,H87
EXTENSION TELEFONICA 30 M,EXTTEL30,135.0,45.0,100.0,40141700,H87
UNIDAD TERMICA SD 2 X 30,UNITERSD230,845.0,485.8,750.0,39121640,H87
ADAPTADOR 2 M RCA A 1 H RCA,ADAP2M1H,25.0,9.63,15.0,40141700,H87
RASTRILLO MANGO FIBRA DE VIDRIO 16 MF,RAS16MF,265.0,142.24,215.0,40141700,H87
CONDULET LB DE 3/4,CONLB34,80.0,35.0,60.0,40141700,H87
INTERRUPTOR ON - OFF DE CADENA,INTONOF,19.99,8.48,11.21,40141700,H87
CLORURO FERRICO 220 ML,CLOFERR220,40.0,19.0,30.0,40141700,H87
INTERRUPTOR NORMA/ ABIERTO ROJO,INTSW102R,10.0,3.8,6.0,40141700,H87
FOCO DOMESTICO 150 WTTS,FOCODOM150,15.31,7.83,10.35,40141700,H87
TUBO CONDUIT P/D DE 1 1/4,TUBPD114,169.34,104.27,139.1,40141700,H87
PLACA 1 VENTANA T/EVOLUCION,TD1V,10.03,4.2,6.09,40141700,H87
CONTROL VOLUMEN DE AIRE,CONVOLAI,378.46,200.16,267.01,40141700,H87
ADAPTADOR 1 JACK 2.5MM 1 PLUG 3.5,ADAPJ25P35,12.01,4.5,7.83,40141700,H87
TERMINAL OJO 3/8 DESNUDA P/1/0,TOD1-038,29.02,12.51,17.41,40141700,H87
BASE P/LAMPARA 2 PUNTAS,BASLAM2P,10.14,3.6,6.33,40141700,H87
FOCO E26 3L,FOCOE263L,85.38,46.0,64.03,40141700,H87
EXTENSION  HDMI MACHO A MACHO 1.8M 206-846,EXTHMDIMM,80.0,30.0,60.0,40141700,H87
CHAPA DE ESCRITORIO 888CR,CH888CR,50.0,25.0,35.0,40141700,H87
CERRADURA C/LLAVE GEO 91160042,CERRGEOENT,135.0,61.61,100.0,40141700,H87
JUEGO DE TARRAJA PARA TUBO 9 PZAS,T13071,3760.0,2025.86,2820.0,27112700,H87
ALAMBRE GALV. #16 (KG),ALAMG16,60.0,30.84,45.0,30264304,H87
BROCA P/FIERRO 1/4 100313,T15097,35.0,17.59,27.0,27112841,H87
BANDA A 52,BAN52,75.0,18.5,55.0,26111801,H87
CLAVO P/CONCRETO (KG) 1,CPC1,120.0,52.59,80.0,31162005,KGM
DISCO CORTE PIEDRA 574,DICP574,36.9,22.92,30.31,40141700,H87
ESTOPA ALGODON (KGS),144182,80.0,38.28,70.0,11162116,KGM
LAINA P/RESANAR CHICA,LACHSM,10.0,4.5,8.0,40141700,H87
LLAVE STILSON PROTUL #12,T22012,218.0,116.38,165.0,27111749,H87
MEZCLADORA P/LAV. 4481,MEZ4481,413.68,239.81,317.15,40141700,H87
PIJA P/W.C. JG0.,PIJAWC,10.02,2.36,4.11,40141700,H87
PUERTA TROQ. DOBLE 90 X 203,PUDOB90203,690.0,436.47,585.0,40141700,H87
RODAJA P/CORTA TUBO,RODCORTU,32.27,20.04,26.51,40141700,H87
TANQUE P/GAS 10 KG.,TANGAS10,1700.0,1100.0,1600.0,24111816,H87
VALVULA ESFERA MANG. 1/2,VALMANE12,50.23,28.93,38.26,40141700,H87
GUANTE CARNAZA LARGO,GUACARL,55.0,27.93,45.0,46181500,H87
BANDA A 45,BAN45,65.0,15.19,50.0,26111500,H87
CANALETA 17 X 35MM 2 M DE LARGO 2 VIAS,CANTMK3517,41.6,18.816,26.88,40141700,H87
BROCHA DE CERDA DE 2,BROCHA2,18.06,8.72,11.53,40141700,H87
LLAVE COMBINADA 11MM PRETUL,T21905,36.0,18.96,27.0,27111700,H87
ESQUINERO GALV. DE 1  41030,ESQG1,5.0,0.94,3.0,27111803,H87
JUEGO BROCAS P/F 13PZA,T11402,400.0,214.66,300.0,27112800,H87
MENSULAS #2,MEN2,6.11,2.95,4.24,40141700,H87
DADO P/BUJIAS 13/16 ECO,DADB1316ECO,20.7,9.0,11.9,40141700,H87
MANGUERA P/AGUA CAPRI 1/2,MANAC12,85.0,45.0,65.0,40142000,H87
SERROTE LINCE CELTA 750-24,SELIN24,53.95,28.43,39.24,40141700,H87
REPUESTO BOTELLA GIS AZUL TRUPER,T18576,40.0,20.93,35.0,27112300,H87
VOLANTE P/AIRE 7 X 5/8,VOL758,180.0,70.59,120.0,31171804,H87
DISCO P/CORTE CERAMICA 1504-4,DISCER1504,83.0,36.31,58.0,40141700,H87
ESCUADRA PULIDA 3 T41041,ESCPUL3,8.0,2.33,4.0,40141700,H87
IMPERMEABILIZANTE ACRILICO 5 A,IMPE802,578.08,408.68,540.48,40141700,H87
PALA CUADRADA CAJUELERA TRU,T17194,145.0,76.72,105.0,40141700,H87
LLANTA CARRETILLA C/CAMARA,LLACARRCAM,275.0,148.0,210.0,25172500,H87
EMBUDO CUELLO RIGIDO 11205,AD11401,25.0,8.62,15.0,40141735,H87
GUANTE P/PINTURA GRANDE,GUPING,40.0,21.55,30.0,40141700,H87
LLAVE P/TALADRO 1/2 TIPO T,LLATAL12T,40.0,13.3,25.0,40141700,H87
LENTE DE SEGURIDAD VISITANTE CLARO,LENSVC,30.0,13.53,20.0,40141700,H87
PINCEL #7,PIN7,10.0,4.14,7.0,40141700,H87
TIRALINEAS TRUPER TL-100,TL100,77.48,41.08,54.33,40141700,H87
BANDA A 48,BAN48,65.0,29.46,55.0,40141700,H87
DOMO 44 X 44,DOM4444,194.19,126.96,167.9,40141700,H87
LIMA PLANA  DE 10  BASTARDA,T15144,110.0,58.62,75.0,40141700,H87
RESISTENCIA P/REGADERA ELEC,RESREGE,39.1,17.0,23.46,40141700,H87
CERRADURA PLASTICA C/SEGURO 520,CERRPLA,95.0,52.06,75.0,40141700,H87
FILTRO D/ACEITE LTH 37,FLTH37,30.62,17.75,23.47,40141700,H87
BOQUILLA  LINMEX,BOQLIN,148.48,77.44,106.72,40141700,H87
ADAPTADOR P/TALADRO,ADAPTAL,70.0,30.0,60.0,40141700,H87
FORMON PRETUL DE 1/2,T21656,114.0,56.03,78.0,27111911,H87
GUANTE DE HULE USO RUDO NEGRO,GUAHUR,25.96,14.56,20.93,40141700,H87
BROCA C/SISTEMA DIRECTO 5/16 X 6,119208,40.0,14.0,33.0,40141700,H87
CUCHILLA CORTAZULEJO REPCAZ-2,CUREPCAZ2,85.0,31.47,55.0,40141700,H87
MORDAZA DE 3/8 X 3/4,MOR3834,18.06,10.0,13.23,40141700,H87
DISCO DESBASTE METAL 999 7,A114632,70.0,36.21,55.0,31191506,H87
EMPAQUE P/NUDO DE REGADERA,EMPNUDREG,4.0,0.5,1.73,40141700,H87
NIVEL TRUPER # 48,T17040,472.0,254.31,354.0,40141700,H87
PALA CUADRADA MANGO LARGO,T17176,328.0,176.72,246.0,40141700,H87
RESORTE # 71,RES71,9.0,3.04,6.0,40141700,H87
MACHUELO STD 1/8 X 40   N2,MACHSTD18,35.0,14.91,25.0,40141700,H87
BROCHE ALEMAN # 3,BROALE3,1.5,0.65,0.98,40141700,H87
CINTA TRANSPARENTE 2 X 40 M A109004 AD11651,T20525,25.0,10.34,15.0,31201517,H87
CAMPANA CN 76 CM ALMENDRA,CAMCN76AL,1071.84,577.5,837.38,40141700,H87
NAVAJA CUTTER C/ALMA METAL 6,T16977,79.0,41.38,59.0,23151901,H87
FLOTA P/ALBANIL BLANCA,FLOECO,25.0,6.59,15.0,40141700,H87
PINZA DE PRESION ROTTER 7 CURVA,PINPP7C,98.0,50.86,68.0,40141700,H87
ADHEFELT P/MINERALIZADO CUBETA,ADHE19,1422.0,817.09,1140.0,40141700,H87
CINTA ROJA PELIGRO 300 m,CINPEL,185.0,99.14,138.0,40141700,H87
DESARMADOR PHILIPS 1/4 X 1 1/2,DP14112,45.98,24.38,32.25,40141700,H87
DADO LARGO 3/8 X 3/8,T13712,57.0,30.17,43.0,27112700,H87
ESPREA CALENTON FLAIRE,ESPCALF,30.0,9.5,20.0,40141700,H87
SERRUCHO P/TABLA ROCA 6,T18174,206.0,111.21,155.0,27111508,H87
BASCULA DE RESORTE 50 KG,T21254,80.0,42.24,60.0,40141700,H87
MANGUERA ARMADA 1/4 X 10 MTS,T19014,270.0,142.24,203.0,40142000,H87
SUJETADOR DE CARGA 4 PZAS TC0882,TC0882,450.0,220.5,325.0,40141700,H87
CARBONES B&D /DE WALT (PZA),CARGM10,64.87,35.7,49.27,40141700,H87
DISCO P/CORTE CERAMICA 0702 CONTINUO,DISCER0702H,67.0,37.1,53.0,40141700,H87
GRAPA P/ENGRAPADORA ET21 5/16,T17971,30.0,14.66,25.0,27112120,H87
CINCHO PLASTICO DE 7.5 N C/100,CINPLA7.5N,70.0,33.5,60.0,40141700,H87
CHALECO DE SEGURIDAD C/REF. NARANJA,WF0285,55.0,25.95,45.0,46181507,H87
CUBRE TODO PLASTICO 10 M2,CUBTODO10,30.0,16.44,25.0,40141700,H87
DESARMADOR P/JOYERO 15 PIEZAS,T14205,312.0,168.1,235.0,27111700,H87
CEPILLO DE ALAMBRE MGO. PLAS 3MM,CEPALA3MM,30.0,12.46,25.0,40141700,H87
CINTA MONTAJE DOBLE CARA 19MM 5 M,T20005,40.0,16.38,30.0,31201500,H87
PILA REDONDA DL1616,PILADL1616,35.0,20.0,28.0,40141700,H87
SEPARADOR DE CERAMICA 2MM C/200 12972,SEPCER2MM,45.0,20.0,35.0,40141700,H87
COPLE UNION DE LATON P/COBRE 1/2,81UL12,125.0,58.11,95.0,40141720,H87
TOVERA P/ESTUFA MABE,MBES055,60.0,12.69,40.0,01010101,H87
MANGO E INDICADOR P/TAPA DE OLLA,EKOE029,295.0,150.0,230.0,40141700,H87
EMPAQUE P/OLLA ONEIDA 8 LTS,ONOE001,158.02,68.11,122.46,40141700,H87
VASO MINI DE VIDRIO OSTER,OSLI408,80.0,45.0,60.0,40141700,H87
QUEMADOR KILIA NVO. MODELO ORIG,MBES023,55.34,23.16,40.3,40141700,H87
DIAFRAGMA MAN MODERNO STAR,MALI050,40.01,16.99,29.57,40141700,H87
PLATO D/CRISTAL 34.5 CM TREBOL,XHMO345,157.71,67.98,118.29,40141700,H87
EMPAQUE T/PRESTO PREMIER 15 Y 21,PROE056,110.0,46.53,85.0,40141700,H87
VASO B&D DE VIDRIO,BDLI415,230.0,73.73,170.0,40141700,H87
TERMOPAR GAS L P ENC.ELECTRONICO,T46149,136.0,68.1,102.0,27112800,H87
FUSIBLE C/PERNO PRESTO LARGO,PROE023,20.0,8.5,15.0,31401501,H87
EMPAQUE P/ECKO 5 LTS. PLUS,EKOE006,75.0,26.6,65.0,31401501,H87
VASO ARMADO STAR ECOSTAR,OSLI165,75.0,27.67,50.0,40141700,H87
DIAFRAGMA HAMILTON STAR,HALI004,60.0,25.0,50.0,40141700,H87
REGULADOR O INDICADOR DE PRESION,EKOE028,175.0,130.0,145.0,40141700,H87
INDICADOR ECKO CUISINE,EKOE014,110.0,42.86,75.0,40141700,H87
QUEMADOR P/CALENTADOR CINSA,XCAL019,189.0,89.96,145.0,41102401,H87
PORTAVASO PLASTICO CON ARILLO,OSLI175,40.0,12.2,30.0,40141700,H87
JGO. PERILLA BLANCA VASTAGO GRUESO,MBES080,25.0,9.73,17.0,52141500,H87
JGO. PERILLA BLANCA VASTAGO DELGADO,MBES079,26.0,11.0,20.0,40141700,H87
PERILLA ANTIGUA C/CHAPETON MABE,MBES012,30.0,5.4,15.0,40141700,H87
PERILLA IUSA,XGAS080,80.0,60.0,70.0,40141700,H87
TAPA ORIG. HAMILTON P/VASO CRISTAL,HALI020,68.42,29.49,51.32,40141700,H87
COPLE D/TRANSMISION CENTRO REFORZADO,WILA144,63.0,20.51,42.0,40141700,H87
VALVULA MEZCLADORA AMARILLA,WILA086,250.0,93.18,175.0,40141700,H87
VALV. MEZCLADORA  P/WHIRPOOL AZUL,WILA014,580.0,277.78,485.0,40141700,H87
VASO CRISTAL TIPO SLOP,OSLI416,164.88,45.46,115.57,40141700,H87
BANDA 3L-280 P/MABE MOD. CHINOSAS,MBLA140,34.5,10.66,18.55,40141700,H87
DIAFRAGMA REVERSIBLE OSTER,OSLI156,96.7,41.68,66.72,40141700,H87
RETEN MODERNO COMPATIBLE OSTER,OSLI080,9.57,1.5,4.35,40141700,H87
TAPA NO ORIGINAL VASO SLOP,OSLI119,30.0,12.5,20.0,40141700,H87
BOMBA PRESURIZADA 1/6 H.P IGOTO,BOMPRESIG,1270.0,598.48,1050.0,40151504,H87
MEMBRANA DE BUTILO P/TANQUE 60L,DM60,425.0,150.0,300.0,40161500,H87
RODAJA G-4093-77 C/PLACA,RODG4093,151.38,75.0,100.05,40141700,H87
CARBONES B&D CMV7 (PZA),CARMV7,23.08,9.13,12.71,40141700,H87
MASILLA AUTOMOTRIZ 1/2 L,MASILLA500,72.0,38.79,55.2,40141700,H87
ADAPTADOR P/FILTRO  AF04,AF04,273.0,146.89,205.0,40141700,H87
REGATON CUADRADO HULE 1 1/4,REGCUA114,12.0,5.2,9.0,13101501,H87
MULTICONECTOR P/TINACO C/VALVULA TIPO B,MULTICV,115.0,42.52,85.0,40172517,H87
CANDADO MALETERO COMBINACION,T43350,58.0,27.59,44.0,46171501,H87
VOLTEADOR DE LAMINA (ORILLERO),VOLLAM,100.0,46.0,85.0,40141700,H87
BOTON NIQUEL B405N,BNB405N,20.0,8.5,15.0,40141700,H87
CU�A P/MOTOR 1/4,CU-MOT14,25.09,10.5,15.23,40141700,H87
VALVULA BOLA PVC 1/2 ROS,VALVPVC12R,20.04,7.11,9.49,40141700,H87
NIPLE GALV 1/2 X 1 1/2,NIPGAL12112,15.0,3.9,10.0,40172502,H87
TEE GALV 3/8 CIFUNSA,TEEGAL38,20.0,8.5,15.0,40141700,H87
RED GALV CAMP 1 X 1/2,REDGALC112,50.0,10.65,40.0,40141700,H87
NIPLE GALV 1/8 X RC,NIPGAL18RC,15.53,7.44,9.93,40141700,H87
VARILLA P/FLOTADOR W.C.,VARFLOWC,10.0,2.6,5.0,40141700,H87
MEZCLADORA P/LAV. M/ACUARIO,2675,220.05,116.38,155.25,40141700,H87
MEZCLADORA P/FREG. BOLANCE,4261,3800.0,1294.5,2500.0,40141700,H87
COLADERA UNIVERSAL CUADRADA FLEX,F2602,80.0,41.4,65.0,48101812,H87
VINILICA ACUACOVER REGULAR 4L,VACUAC4,355.0,170.24,275.0,31211506,H87
TUBO NEGRO ROSC. DE 3/4,TUBNER34,383.8,254.51,339.52,40141700,H87
ADAPT.PVC HID.R/E DE 1/2,ADPVCHM12,5.0,1.12,3.0,40141700,H87
CODO PVC HIDRAULICO 1/2 X 45,CODPVC1245,6.0,1.59,4.07,40141700,H87
TEE CPVC DE 1,TEECPVC1,25.0,8.19,20.0,40141700,H87
COPLE PVC 4 C 80,COPVC4C80,179.31,77.29,107.59,40141700,H87
TUBO PLUS 1 X 4 MTS PPR,TUBPPR1,388.0,238.64,333.0,40183000,H87
TUERCA UNION PVC HID. 2,TUEUNPVCH2,190.98,82.32,114.58,40141700,H87
COPLE MAN,MALI007,15.0,2.12,7.31,40141700,H87
EMPAQUE PRESTO 12 LTS.,PROE010,70.0,21.49,45.0,40141700,H87
PERILLA P/TERM.HONEYWELL,XCAL001,20.0,4.82,15.0,31162800,H87
PERILLA P/VARIAS MARCAS,XEST001,10.02,2.8,5.15,40141700,H87
REVUELTO,REVUELTO,350.0,230.0,320.0,11111700,MTQ
EMPAQUE PRESTO 15-21 LTS.,PROE011,70.0,21.49,45.0,40141700,H87
ENS. CABEZA C/TAPA PORCENALIZADO,WIES013,57.01,26.65,42.91,40141700,H87
FUSIBLE C/PERNO PRESTO,PROE021,0.0,0.0,0.0,40141700,H87
FUSIBLE ECKO,EKOE010,10.0,2.94,6.0,40141700,H87
FUSIBLE INTERLOCK COMPLETO,PROE020,35.0,14.2,25.0,40141700,H87
FUSIBLE P/SUMBEAM,SUOE003,15.83,3.9,9.95,40141700,H87
IMAN,XREF030,0.0,0.0,0.0,40141700,H87
INDICADOR ANTIGUO PRESTO,PROE024,159.0,68.34,110.0,40141700,H87
INDICADOR ECKO,EKOE012,150.0,65.0,120.0,40141700,H87
