nombre,codigo,precio_publico,precio_compra,precio_mayoreo,clave_sat,unidad_sat
CARBONES DE REPUESTO P/ESMA 4 1/2N,T18023,60.0,27.59,40.0,26101400,PR
PANEL COLGANTE 60 X 60 45 W 6500K LED,T48549,1200.0,646.55,900.0,39111500,H87
NIVEL CLASICO 3 GOTAS NP 18 TRUPER,T17034,216.0,116.37,162.0,27112200,H87
TENSOR ELASTICO 45 CM,T22021A,14.0,6.0,10.0,31162405,H87
TENSOR ELASTICO 60 CM,T22021B,19.0,8.0,12.0,31162405,H87
TENSOR ELASTICO 90 CM,T22021C,28.0,12.0,18.0,31162405,H87
TENSOR ELASTICO 1.22 CM,T22021D,38.0,16.0,25.0,31162405,H87
BANDOLA NIQUELADA 3 1/2 TRUPER,T44031,27.0,13.79,20.0,31162600,H87
CLAVIJA BLINDADA  POLARIZADA  INDUSTRIAL 3 HILOS 15A 125V,T46207,30.0,11.21,20.0,31162800,H87
ARANDELA PLANA DE 1/4 C/NEOPRENO,ARAPLA14NP,0.5,0.15,0.3,31161818,H87
SEGUETA SABLE 12 X 10  DPP 2PZA,120788,195.0,101.5,146.0,27112802,H87
CLAVIJA PLASTICA  POLARIZADA  INDUSTRIAL 3 HILOS 15A 125V,T46205,25.0,11.21,16.0,31162800,H87
ROTO MARTILLO INALAMBRICO 1/2 18V IND,T15039,4560.0,2456.9,3420.0,27111701,H87
MULTICONTACTO SUPRESOR DE PICOS 270J C/INDICADOR 6 ENTRADAS,T47183,216.0,135.0,200.0,39121522,H87
CODO PPR 20MM 1/2 X 45,CODPPR1245,10.0,3.61,5.0,40172517,H87
REJILLA COLADERA FE.,TAPARC,35.0,14.42,25.0,40141700,H87
PROTECTOR FACIAL TRANSPARENTE,T14221,264.0,142.24,198.0,46181700,H87
ANGULO 1/8 X 1 1/2 X 6 MTS,ANG18112,345.0,186.05,260.0,30101500,H87
VINILICA BEREL 4 L BERELINTE,VBEREL4,600.0,345.24,485.0,31211506,H87
VALVULA DE PURGA DE AIRE DE 1/2,T40012,184.0,99.14,138.0,24141700,H87
CINCHO PLASTICO 18 LB 10 CM C/100 PZA,T44300,25.0,11.2,20.0,31162800,H87
BROCA COBALTO INDUSTRIAL 3/8 100351,BS3-8,95.0,49.14,70.0,27112841,H87
BROCA COBALTO INDUSTRIAL 1/2 BS1/2,A100359,195.0,103.45,147.0,27112841,H87
CARBON ESCOBILLA BOSH GM-132-4,GM1324,70.0,36.65,52.0,26101404,H87
ANZUELO PARA PESCA 186-6 EAGLE C/100,ANZ1866,80.0,40.6,60.0,21111501,H87
ANZUELO PARA PESCA 186-6 EAGLE PIEZA,ANZ1866P,1.5,0.41,1.0,21111501,H87
ENCENDEDOR DE CAZUELA REDONDO WC04005,ENCCAZ,42.0,22.4,32.0,12131700,H87
CARBON TALADRO BOSH 7/16 X 1/4,CAR9,30.0,9.68,20.0,26101404,H87
GANCHO CON COPA DE SUCCION 40 MM,GANCOP,20.0,8.12,15.0,31162600,H87
ANZUELO PARA PESCA 186-4 EAGLE C/100,ANZ1864,85.0,42.0,65.0,21111501,H87
ANZUELO PARA PESCA 186-4 EAGLE PIEZA,ANZ1864P,1.5,0.42,1.0,21111501,H87
VINILICA BEREL 4 L MULTITONO,VBEREL4M,630.0,341.38,515.0,31211506,H87
VINILICA BEREL 1 L BERELINTE,VBEREL1,155.0,89.0,124.0,31211506,H87
BOQUILLA FLEXIBLE PARA INYECTOR DE GRASA,T14862,105.0,56.03,78.0,40141736,H87
SIERRA BIMETAL DE 1 3/8,T18093,168.0,90.52,126.0,23242113,H87
CONTRA P/LAVABO PLASTICO P/OVALIN,2212,25.0,9.19,20.0,30181605,H87
LLAVE PARA BOILER DE PLASTICO 3/4,2489,50.0,25.0,35.0,40141600,H87
ESPREA CALENTON NIPLE P/TEE 1/8X1/4,ESPNIPT,40.0,13.5,30.0,40141700,H87
ESPREA CALENTON P/TEE CHICA,ESPPT,30.0,7.5,20.0,40141700,H87
SEGUETA SIERRA SABLE 6 24 DP P/METAL 2 PZA,T10797,105.0,56.03,78.0,27111500,H87
CONECTOR RAPIDO HEMBRA P/MANGUERA RIEGO 102417,T12727,10.0,4.57,8.0,21101800,H87
MANIJA RECTA RECAMARA NIQ SATIN,MY-T53PDFR,310.0,167.29,233.0,31162807,H87
TORNILLO PUNTA DE BROCA P/LAMINA/MADERA 12 X 2 1/2,TPB12212,2.0,0.8,1.5,31161523,H87
CONECTOR GLANDULA NYLON 3/4,CONGLA34,25.0,10.28,20.0,31163100,H87
BASCULA MECANICA CON CUCHARON DE 5 KGS,T17083,1000.0,538.79,750.0,41111500,H87
CORDON P/PERSIANA # 4,CORPER4,150.0,65.6,99.0,31152100,H87
VALVULA INVIERNO 3/8 X 1/2,190HF8-6M,90.0,35.0,60.0,40141607,H87
VALVULA AGUJA 3/8 X 3/8 FLARE,VAMM1010V,70.0,27.03,50.0,40141602,H87
TUERCA UNITROL 3/8,TUN10,50.0,6.65,25.0,40175201,H87
CINTA MOMIA P/RECUBRIMIENTO 6 CM X 15 MTS,CINMOM,75.0,38.5,55.0,40101701,H87
ANGULO ALUMINIO 2 X 2 X 6 MTS NATURAL,ANGAN2N,560.0,301.72,420.0,31111501,H87
CLAVIJA BLINDADA PLASTICA ATERRIZADA,136509,45.0,22.0,35.0,39121402,H87
EPOXICO BLANCO C/CATALIZADOR C/REDUCTOR KIT,PINEPOXK,11952.0,6634.83,11016.0,13111001,H87
FLEXOMETRO DE 3 MTS AMARILLO.,142120,40.0,21.7,30.0,27111801,H87
EXTENSION ELECTRICA 10 M CAL16,GLXTDO10MB,150.0,65.73,105.0,39121440,H87
BENJAMIN CON CADENA A117531,T46512,30.0,12.93,25.0,39111803,H87
CLAVIJA REFORZADA ATERRIZADA,T46208,30.0,11.21,20.0,39121400,H87
TELA MOSQUITERA FIBRA DE VIDRIO 0.90 M C/30M,T44994,960.0,512.93,715.0,11161800,H87
GANCHO CLAVIJA 20 CM C/6,GANCLA8,305.0,162.93,227.0,40141700,H87
CINCHO PLASTICO 50 LB 30 CM  PZA NEGRO,A103015P,2.0,0.61,1.5,31162800,H87
BARNIZ MARINO 4 LTO TRANSPARENTE,BARMART4,1580.0,850.0,1285.0,31211707,H87
BRIDA CROMADA  P/TUBO PAR,BC584,40.0,20.0,30.0,10141601,H87
FONDO AUTOMOTRIZ ROJO OXIDO LTO,FONARO,224.0,128.75,180.0,31211515,LTR
BASCULA MECANICA CON CUCHARON DE 5 KGS,T17084,1160.0,625.0,870.0,41111500,H87
CORREDERA DE EXTENSION TOTAL 35MM P/CAJON 55 CM 2 PZA,T43289,90.0,42.24,65.0,31162800,H87
CINCHO PLASTICO 120 LB 75 CM PIEZA,T48984P,10.0,4.48,7.0,31162800,H87
CINCHO PLASTICO 120 LB 75 CM C/10 PZA,T48984,84.0,44.83,63.0,31162800,H87
LENTE DE SEGURIDAD TRANSPARENTE,137323,40.0,20.3,30.0,46181811,H87
CLAVADORA/ENGRAPADORA NEUMATICA CAL 18 32MM,CE632,1170.0,629.29,876.0,27131506,H87
CINCHO PLASTICO DE 14   (C/50) NATURAL,CINPLA14NAT,65.0,31.87,50.0,40141700,H87
TERMOCOPLE 60 PULGADAS ROBER,TERMOCOPLE60,250.0,133.72,190.0,40142201,H87
SERROTE P/CARPINTERO 246 DPP STX24,T18161,216.0,116.38,162.0,27111508,H87
MARRO OCTAGONAL 4 LBS FIBRA DE VIDRIO,T16536,224.0,120.69,168.0,27111600,H87
MARRO OCTAGONAL 12 LBS FIBRA DE VIDRIO,T16542,664.0,357.76,498.0,27111600,H87
ESCOBA METALICA P/JARDIN EM-22,T14322,127.0,68.1,96.0,27112027,H87
MICA REPUESTO P/PROTECTOR FACIAL,T14222,136.0,73.28,102.0,46181700,H87
TEFLON LIQUIDO 60 MLOZ,TEFLIQ60,35.0,18.0,25.0,31201602,H87
PILA ENERGIZER T/  AAA C/4,PILAENEAAAB,115.0,65.62,95.0,26111702,H87
PILA ENERGIZER T/  AA C/4,PILAENEAAB,95.0,54.59,76.0,26111702,H87
TANQUE RECUPERADOR DE GAS REFRIGERANTE 50 LBS,TANREC50,4750.0,2685.0,3750.0,24111802,H87
LUZ LED CON INTERRUPTOR P/PARED,T49970,127.0,68.1,95.0,39111500,H87
MEZCLADORA P/FREGADERO,MZF814,495.0,206.98,300.0,30181804,H87
MANERAL DE ABS PARA MEZCLADORA,MMZF821F,25.0,9.51,15.0,30181810,H87
BISAGRA P/VENTANA PROY/BATIENTE BLANCO JGO,BISALB,95.0,39.36,60.0,31162403,H87
LENTE DE SEG. INDUSTRIAL TRANSPARENTE,144183,32.0,16.8,25.0,46181811,H87
MANGUERA BAJA PRESION 1/4 X 10,108146,182.0,98.0,137.0,40142002,H87
BROCA P/CONCRETO DE 1/4 X 6,119157,18.0,7.7,12.0,27112843,H87
JUEGO 5 DESARMADOR 1000V COMBINADO,D4V,365.0,196.0,275.0,27111728,H87
TELA MOSQUITERA FIBRA DE VIDRIO 1.20 M X 30M,T44996,1200.0,487.07,735.0,11161800,H87
QUEMADOR CHICHARRONERO 6 S/ LLAVE,QUECH6,450.0,228.41,350.0,23271700,H87
CAPACITOR DE ARRANQUE 189-227 MFD 220V,CAP189-227,162.0,87.27,122.0,32121500,H87
CAPACITOR DE ARRANQUE 15 UF 400V,CAP15UF,90.0,47.9,68.0,32121500,H87
SEPARADOR DE CERAMICA 3/16 C/150 12974,T12974,45.0,20.0,35.0,31162314,H87
PIEDRA PARA AFILAR,T11669,55.0,27.59,42.0,31191510,H87
TAPA PARA QUEMADOR,DEES008,20.0,5.6,15.0,41102401,H87
PERILLA CROMADA VASTAGO MEDIO ENTRADA CHICA,MBES036,65.0,32.5,50.0,31162800,H87
BANDA P/MAYTAG 21352320,MTLA013,290.0,154.84,250.0,30266501,H87
MANGO PARA TAPA DE OLLA PREMIER,PROE057,108.0,46.57,85.0,31162800,H87
PELICULA POLARIZADO SMOKE CLARO 35 % 1.52M,PELPOLSC,215.0,121.42,170.0,40141700,MTR
ESCALERA DE TIJERA TIPO II 6 PELDANOS C/BANDEJA,T16744,1840.0,991.38,1380.0,30191501,H87
ESCALERA TUBULAR PLEGABLE 4 PELDANOS ALUMINIO,T16765,1320.0,711.21,990.0,30191501,H87
DIABLITO DE CARGA 400 KGS,T44478,1980.0,1056.03,1483.0,22101528,H87
MENSULAS 5 X 6 BLANCA,137791,8.0,4.2,6.0,31162501,H87
UNIDAD TERMICA 2 X 40 BTICINO,UNITER240BT,300.0,155.7,240.0,39121640,H87
VASO B&D E/CHICA M.G. PRIMERA,LIBD0170,40.0,17.16,30.0,52141500,H87
VASO B&D POLICARBONATO E/GRANDE MG,LIBD0001G,130.0,45.0,100.0,52141500,H87
CHAROLA 100 % INOXIDABLE P/OSTER NORMAL,LIOS0190,6.0,2.16,4.0,52141524,H87
JUEGO COPLE OSTER ECONOMICO,LIOS0440,25.0,10.78,15.0,52141524,H87
EMPAQUE ESPECIAL EKCO VASCONIA,PLVA1900,50.0,18.66,35.0,48101500,H87
HILO NYLON COLOR AMARILLO 65 MTS,T14045,25.0,9.48,15.0,11151700,H87
ESPATULA FLEXIBLE PRETUL  DE 5,T20323,40.0,21.55,30.0,27111909,H87
CLAVIJA DE HULE C/2 PZA,T46122,30.0,12.93,25.0,31162800,H87
PEGAMENTO J39 GALON 4 KGS,PEGAGALJ39,280.0,151.0,230.0,31201600,H87
TERMOSTATO CAEM 30-110,TERCAEM,750.0,311.0,500.0,73171500,H87
CONTROL DE LIMITE LCHM,CONLIM,4183.0,2254.0,3137.0,41112209,H87
REMACHE POP 1/8 X 3/16 PZA,113401P,0.5,0.13,0.035,31162201,H87
LAMPARA LED 4 W BASE G9 FOCO CAPSULA LUZ CALIDA,T48102,87.0,45.69,65.0,39101600,H87
VASTAGO PARA MEZCLADORA MEZF151A,FV3016,85.0,31.21,55.0,23191200,H87
VASTAGO PARA MEZCLADORA MEZF151A CALIENTE,FV3016R,85.0,31.21,55.0,23191200,H87
VASTAGO PARA MEZCLADORA MEZF117,FV3010,80.0,28.12,50.0,23191200,H87
VASTAGO PARA MEZCLADORA MEZF117,FV3010R,80.0,28.12,50.0,23191200,H87
CARTUCHO P/LLAVE DE EMPOTRAR CALIENTE,FV3051R,80.0,34.38,60.0,23191200,H87
BROCA PARA CONCRETO 3/16 X 6,T11258,20.0,7.76,15.0,27111543,H87
TENSOR ELASTICO SET CON 8 PZA,T22021,158.0,85.34,119.0,31162405,H87
REPUESTO CUCHILLA P/CORTAAZULEJO 10 MM,T15829,127.0,68.1,95.0,27112222,H87
SELLADOR P/RADIADOR 50 GR,SELLAMAX,25.0,11.92,18.0,12163800,H87
JUEGO DE 16 SEGUETAS P/CALADORA T/T,T16705,192.0,103.45,145.0,27111500,H87
VIDA MADERA ECOLOGICO PORRON,VIDAMAD,3750.0,2145.0,2985.0,10191509,H87
ESMALTE AMARILLO TRAFICO 19 LTS,PESMTRA19,4250.0,2122.47,3202.0,31211700,H87
PEGATANKE BLANCO,PEGATANB,176.0,94.83,143.0,31201600,H87
PEGATANKE TRANSPARENTE,PEGATANT,176.0,94.83,143.0,31201600,H87
PEGATANKE GRIS,PEGATANG,176.0,94.83,143.0,31201600,H87
PEGATANKE NEGRO,PEGATANN,176.0,94.83,143.0,31201600,H87
DADO TRUPER 3/4 X 1 1/2,T13862,360.0,193.97,300.0,27112700,H87
PIJA MULTIUSOS 6 X 1/2 C/100 PZA,T44335,30.0,10.34,20.0,31162800,H87
COMBO POMO BOLA DOBLE LAT BTE,14CL,506.0,272.29,379.0,31162801,H87
BROCA C/SISTEMA DIRECTO 3/16 X 8,T11261,45.0,24.14,34.0,27111543,H87
JUEGO DE 8 BROCAS P/MADERA,T11338,85.0,44.83,65.0,27111537,H87
COMBO POMO BOLA DOBLE LAT BTE,14CB,480.0,258.68,360.0,31162801,H87
COMBO POMO BOLA DOBLE LAT BTE,MY-CT5362B,370.0,198.82,277.0,46171503,H87
LAMPARA DE EMERGENCIA RECARGABLE 1000 LM 120 LED,T43010,680.0,366.38,510.0,39101600,H87
PUNTA P/DESARMADOR PHILIPS PH2 2 C/15,T100195,130.0,68.1,100.0,27111734,H87
PUNTA P/DESARMADOR PHILIPS PH2 2 PIEZA,T100195P,20.0,3.39,15.0,27111734,H87
PUNTAS PARA DESARMADOR PH2 PARA TABLAROCA 1 C/ 5 PZA,T12717,85.0,42.24,65.0,27111734,H87
PUNTAS PARA DESARMADOR PH2 PARA TABLAROCA 1  PZA,T12717P,20.0,8.45,15.0,27111734,H87
ESCUADRA DE ALUMINIO PATA TABLAROCA 7,T15131,176.0,94.83,132.0,27111909,H87
ALCAYATA C/ROSCA 2278,ALC2278,8.0,2.76,6.0,31162400,H87
CARBON ESCOBILLA B&D CMV-54,CMV54,25.0,10.4,20.0,31162800,H87
JUEGO DE PUNTAS DE DESARMADOR DE 1 C/ESTUCHE,T17794,264.0,142.24,198.0,27113201,H87
DISCO CORTE DE METAL 7 X 1.5 MM,T12546,55.0,24.14,45.0,31191506,H87
MEDIDOR INFRAROJO DE TEMPERATURA,T18229,760.0,409.48,570.0,41111615,H87
PLASTIPROTECTOR 10 M2 USO RUDO A106922,T11108,30.0,15.52,25.0,31162601,H87
JUEGO DE 6  BROCAS PLANAS,T11395,250.0,133.62,186.0,27111537,H87
VASO COMPLETO T-FAL INFINY FORCE,LIVA5600V1,200.0,86.21,150.0,52141500,H87
VASO COMPLETO T-FAL INFINY FORCE,LIVA5600V5,185.0,77.5,115.0,52141500,H87
KIT COPLE  TAURUS COMPLETO,LITA9999,35.0,11.21,25.0,52141524,H87
CABEZA MABE KILYA NACIONAL,ESMA0088TC,190.0,81.9,145.0,52141525,H87
ROTOMARTILLO TRUPERL 1/2 850W,T14659,1400.0,754.31,1050.0,40141700,H87
REMACHADORA PROFESIONAL 9 C/3 BOQUILLAS,T17960,184.0,99.14,138.0,40141700,H87
DISCO CORTE DE METAL 14 X 7/64,T11567,128.0,68.1,96.0,31191506,H87
TERMOMETRO DIGITAL,TERMDIG,600.0,278.53,420.0,41112213,H87
MANGUERA P/JARDIN 25 MTS REFORZADA,MANJAR25M,450.0,239.09,335.0,40141700,H87
CINCHO PLASTICO 18 LB 15 CM C/100 PZA NATURAL AD1740,T44301,35.0,16.38,24.0,31162800,H87
CINCHO PLASTICO 18 LB 15 CM PZA NATURAL AD1740,T44301P,1.0,0.18,0.5,31162800,H87
CINCHO PLASTICO 120 LB 55 CM C/10 PZA,T48983,65.0,30.17,50.0,31162800,H87
CINCHO PLASTICO 120 LB 55 CM  PZA,T48983P,8.0,3.36,6.0,31162800,H87
JUEGO MANGUERAS 36 IN,JGOMAN36,305.0,163.0,229.0,20122504,H87
LLAVE AJUSTABLE FOY 6 PAVONADA T21822,140426,104.0,56.03,78.0,27112707,H87
BOTON CLASICO 02 NIQ RAY,LJ2C02R,18.0,9.8,14.0,31162801,H87
BOTON MODERNO 01 NIQ SAT,LJ2M01N,18.0,9.8,14.0,31162801,H87
JALADERA CLASICA 06 NIQ SAT,LJ1C06N,60.0,32.2,45.0,31162801,H87
ACRILASTIC BLANCO 280 GR,113505,55.0,29.4,45.0,31201606,H87
BOMBA P/INFLAR PEDAL PRETUL,T21693,120.0,64.66,90.0,40151501,H87
RUEDA PARA DIABLO 7 DOBLE BALERO,T45483,160.0,85.34,120.0,31162702,H87
PISTOLA PINTAR GRAVEDAD GIRA 400ML,PPG3,416.0,223.99,312.0,31211908,H87
CHALECO MALLA AJUSTABLE CORREA NARANJA,137376,94.0,50.4,71.0,46181507,H87
CHALECO DE SEGURIDAD C/REF.VERDE A307702,T21026,65.0,33.62,50.0,46181500,H87
VALVULA EXPULSORA DE AIRE 13 MM DE LATON,101,174.0,88.97,135.0,40141600,H87
MEZCLADORA P/FREGADERO FLEXIBLE COMPRESION,MZF8121FC,450.0,222.93,350.0,30181804,H87
REGADERA CUADRADA 10 ACERO INOXIDABLE DE LUXE,RC107,354.0,190.75,266.0,40141700,H87
AEREADOR PARA MEZCLADORA 13081,8R01,50.0,21.04,37.0,30181800,H87
CONTRA PARA LAVABO POP-UP,CANPOP-001,170.0,90.05,126.0,40141700,H87
DESVIADOR PARA REGADERA,RI29,110.0,55.0,85.0,40141700,H87
PALANCA PLASTICA PARA SANITARIO,MWCP-002,60.0,30.95,45.0,40141700,H87
RESUMIDERO CUADRADO DE 4 DE ZINC,11001,130.0,55.0,95.0,30181807,H87
REGADERA CUADRADA 8 ACERO INOX. DE LUXE,RC109,222.0,119.58,167.0,40141700,H87
CARTUCHO PARA MZF814/MZF816/MZF817/MZL414/MZL416,AR-036,120.0,50.97,90.0,30181810,H87
CARTUCHO PARA MZF821F/MZF821/MZF826F,AR-060,80.0,14.0,50.0,30181810,H87
CARTUCHO PARA MZF811F/MZF812/MZF827FC/MZL411,AR-042,120.0,50.97,90.0,40141700,H87
ESCUADRA 8 X 12,T14386,88.0,47.41,66.0,27111809,H87
LLAVE JARDIN 1/2 CNX,VN,50.0,28.12,40.0,40141700,H87
LLAVE ANGULAR CNX1/2 X 3/8 VOLANTE PLANO,VAP-06,60.0,25.0,40.0,40141617,H87
BOMBA SUMERGIBLE PLASTICA P/APARATO DE AIRE ALTURA 1.60 M  800 L,BOMSUMBS12,130.0,65.13,105.0,40101700,H87
BROCA P/FIERRO 5/64,BG5-64,15.0,7.0,10.0,27112841,H87
GUANTE LATEX HOGAR 8,137395,32.0,16.8,24.0,46181504,H87
CUCHILLA CORTAZULEJO CAZ  PIEZA,T12936P,96.0,40.94,72.0,27112222,H87
RODAJA ESFERICA 40 MM CON PLACA,T44390,35.0,18.97,30.0,31162701,H87
LLANA REDONDA DE 16 10 REMACHES,T12398,239.0,128.45,180.0,27112200,H87
PROBADOR DE VOLTAJE 12-48V,NCVT-2SEN,0,750.0,925.0,39111500,H87
GEL ANTIBACTERIAL GALON,GELANTG,350.0,200.0,280.0,53131626,H87
BACTODRAIN NOVA LTO,BACTODRAIN,80.0,50.0,70.0,12164000,LTR
CHAROLA COVID SENCILLA,CHARSEN,464.0,280.0,390.0,53131626,H87
CHAROLA COVID DOBLE,CHARDOB,625.0,380.0,530.0,53131626,H87
